"","bams","plate","code","lane","batch"
"1","/ugi/data/vincent/sequence.data/HCM/aligned//first.batch/first.batch.1/first.batch.1.sorted.unique.bam","first.batch","first.batch.1","first.batch","first.batch.first.batch"
"2","/ugi/data/vincent/sequence.data/HCM/aligned//first.batch/first.batch.10/first.batch.10.sorted.unique.bam","first.batch","first.batch.10","first.batch","first.batch.first.batch"
"3","/ugi/data/vincent/sequence.data/HCM/aligned//first.batch/first.batch.11/first.batch.11.sorted.unique.bam","first.batch","first.batch.11","first.batch","first.batch.first.batch"
"4","/ugi/data/vincent/sequence.data/HCM/aligned//first.batch/first.batch.12/first.batch.12.sorted.unique.bam","first.batch","first.batch.12","first.batch","first.batch.first.batch"
"5","/ugi/data/vincent/sequence.data/HCM/aligned//first.batch/first.batch.2/first.batch.2.sorted.unique.bam","first.batch","first.batch.2","first.batch","first.batch.first.batch"
"6","/ugi/data/vincent/sequence.data/HCM/aligned//first.batch/first.batch.3/first.batch.3.sorted.unique.bam","first.batch","first.batch.3","first.batch","first.batch.first.batch"
"7","/ugi/data/vincent/sequence.data/HCM/aligned//first.batch/first.batch.4/first.batch.4.sorted.unique.bam","first.batch","first.batch.4","first.batch","first.batch.first.batch"
"8","/ugi/data/vincent/sequence.data/HCM/aligned//first.batch/first.batch.5/first.batch.5.sorted.unique.bam","first.batch","first.batch.5","first.batch","first.batch.first.batch"
"9","/ugi/data/vincent/sequence.data/HCM/aligned//first.batch/first.batch.6/first.batch.6.sorted.unique.bam","first.batch","first.batch.6","first.batch","first.batch.first.batch"
"10","/ugi/data/vincent/sequence.data/HCM/aligned//first.batch/first.batch.7/first.batch.7.sorted.unique.bam","first.batch","first.batch.7","first.batch","first.batch.first.batch"
"11","/ugi/data/vincent/sequence.data/HCM/aligned//first.batch/first.batch.8/first.batch.8.sorted.unique.bam","first.batch","first.batch.8","first.batch","first.batch.first.batch"
"12","/ugi/data/vincent/sequence.data/HCM/aligned//first.batch/first.batch.9/first.batch.9.sorted.unique.bam","first.batch","first.batch.9","first.batch","first.batch.first.batch"
